,title,movie_type,date
0,天气之子,爱情／动画／奇幻,2019-11-01
1,误杀,剧情／犯罪,2019-12-13
2,唐人街探案2,喜剧／动作／悬疑,2018-02-16
3,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
4,少年的你,爱情／青春／剧情,2019-10-25
5,哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
6,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
7,战狼2,动作／战争,2017-07-27
8,吹哨人,剧情／犯罪／悬疑,2019-12-06
9,恐怖电影院2,恐怖／惊悚,2017-10-20
10,野性的呼唤,剧情／冒险,2020-02-21
11,复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
12,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
13,冰雪奇缘2,喜剧／动画／冒险,2019-11-22
14,疯狂的外星人,剧情／喜剧／科幻,2019-02-05
15,活着,灾难,2020-06-24
16,中国机长,剧情／传记,2019-09-30
17,两只老虎,剧情／喜剧,2019-11-29
18,釜山行,动作／惊悚／灾难,2016-05-13
19,流浪地球,剧情／冒险／科幻,2019-02-05
20,囧妈,剧情／喜剧,2020-01-25
21,速度与激情：增压,动作／短片,2015-06-25
22,星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
23,我和我的祖国,剧情,2019-09-30
24,数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
25,最美逆行,剧情,2020-06-28
26,泰迦奥特曼剧场版 新世代CLIMAX,科幻／冒险,2020-03-06
27,因爱而伟大,剧情／家庭,
28,蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
29,南方车站的聚会,剧情／犯罪,2019-12-06
30,天气之子,爱情／动画／奇幻,2019-11-01
31,误杀,剧情／犯罪,2019-12-13
32,唐人街探案2,喜剧／动作／悬疑,2018-02-16
33,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
34,少年的你,爱情／青春／剧情,2019-10-25
35,哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
36,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
37,战狼2,动作／战争,2017-07-27
38,吹哨人,剧情／犯罪／悬疑,2019-12-06
39,恐怖电影院2,恐怖／惊悚,2017-10-20
40,野性的呼唤,剧情／冒险,2020-02-21
41,复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
42,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
43,冰雪奇缘2,喜剧／动画／冒险,2019-11-22
44,疯狂的外星人,剧情／喜剧／科幻,2019-02-05
45,活着,灾难,2020-06-24
46,中国机长,剧情／传记,2019-09-30
47,两只老虎,剧情／喜剧,2019-11-29
48,釜山行,动作／惊悚／灾难,2016-05-13
49,流浪地球,剧情／冒险／科幻,2019-02-05
50,囧妈,剧情／喜剧,2020-01-25
51,速度与激情：增压,动作／短片,2015-06-25
52,星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
53,我和我的祖国,剧情,2019-09-30
54,数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
55,最美逆行,剧情,2020-06-28
56,泰迦奥特曼剧场版 新世代CLIMAX,科幻／冒险,2020-03-06
57,因爱而伟大,剧情／家庭,
58,蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
59,南方车站的聚会,剧情／犯罪,2019-12-06
60,天气之子,爱情／动画／奇幻,2019-11-01
61,误杀,剧情／犯罪,2019-12-13
62,唐人街探案2,喜剧／动作／悬疑,2018-02-16
63,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
64,少年的你,爱情／青春／剧情,2019-10-25
