title,movie_type,date
天气之子,爱情／动画／奇幻,2019-11-01
误杀,剧情／犯罪,2019-12-13
唐人街探案2,喜剧／动作／悬疑,2018-02-16
哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
少年的你,爱情／青春／剧情,2019-10-25
哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
毒液2,,2020-06-25
战狼2,动作／战争,2017-07-27
吹哨人,剧情／犯罪／悬疑,2019-12-06
恐怖电影院2,恐怖／惊悚,2017-10-20
野性的呼唤,剧情／冒险,2020-02-21
复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
火箭少女101飞行演唱会*广州站,,2019-03-30
冰雪奇缘2,喜剧／动画／冒险,2019-11-22
疯狂的外星人,剧情／喜剧／科幻,2019-02-05
活着,,2020-06-24
中国机长,剧情／传记,2019-09-30
两只老虎,剧情／喜剧,2019-11-29
釜山行,动作／惊悚／灾难,2016-05-13
流浪地球,剧情／冒险／科幻,2019-02-05
囧妈,,2020-01-25
速度与激情：增压,动作／短片,2015-06-25
星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
我和我的祖国,剧情,2019-09-30
数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
最美逆行,,2020-06-28
泰迦奥特曼剧场版 新世代CLIMAX,,2020-03-06
因爱而伟大,,
蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
南方车站的聚会,剧情／犯罪,2019-12-06
速度与激情：特别行动,动作／惊悚／犯罪,2019-08-23
攀登者,剧情／冒险,2019-09-30
烈火英雄,灾难／动作／剧情,2019-08-01
大赢家,喜剧,2020-03-20
你的名字。,爱情／动画／奇幻,2016-12-02
大鱼海棠2,,
反贪风暴5,,2019
新世纪福音战士新剧场版：终,,2020-06-27
叶问4：完结篇,动作／剧情／传记,2019-12-20
鬼灭之刃 兄妹的羁绊,动作／动画／惊悚／奇幻,2019-03-29
我不是药神,剧情／喜剧,2018-07-05
熊出没·原始时代,喜剧／动画／冒险,2019-02-05
宠爱,喜剧／爱情／剧情,2019-12-31
紫罗兰永恒花园 外传：永远与自动手记人偶,剧情／动画,2020-01-10
航海王：狂热行动,动画／冒险,2019-10-18
速度与激情8,动作／惊悚／犯罪,2017-04-14
大鱼海棠,剧情／动画／奇幻,2016-07-08
千与千寻,动画／冒险／奇幻／家庭,2019-06-21
前任3：再见前任,喜剧／爱情,2017-12-29
西虹市首富,喜剧,2018-07-27
明日战记,,2019
与神同行：罪与罚,剧情／奇幻,2017-12-20
红海行动,剧情／动作,2018-02-16
陀地驱魔人,剧情／恐怖,2015-11-22
泰迦奥特曼剧场版 新世代CLIMAX,,
建军大业,剧情／历史,2017-07-27
知晓天空之蓝的人啊,动画,2019-10-09
画壁,剧情／动作／爱情／奇幻,2011-09-29
战神诀,,2019
午夜0时的吻,爱情,2019-12-06
